case_type,people_total_tested_count,cases,difference,date,combined_key,country_region,province_state,admin2,iso2,iso3,fips,lat,long,population_count,people_hospitalized_cumulative_count,data_source,prep_flow_runtime
Confirmed,,3043,100,2020-04-27,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Confirmed,,60,5,2020-03-18,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Confirmed,,3,0,2020-03-09,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Confirmed,,2,0,2020-02-28,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Deaths,,0,0,2020-03-11,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Deaths,,15,6,2020-04-02,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Deaths,,0,0,2020-02-12,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Deaths,,0,0,2020-02-19,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Deaths,,0,0,2020-02-21,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Deaths,,71,1,2020-04-19,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Deaths,,1,1,2020-03-23,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Deaths,,0,0,2020-01-23,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Deaths,,0,0,2020-02-06,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Deaths,,19,1,2020-04-06,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Confirmed,,2,0,2020-02-27,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Confirmed,,293,55,2020-03-26,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Confirmed,,3,0,2020-03-08,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Deaths,,0,0,2020-03-13,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Deaths,,0,0,2020-03-19,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Deaths,,31,12,2020-04-08,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Confirmed,,341,48,2020-03-27,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Deaths,,0,0,2020-01-29,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Confirmed,,3,0,2020-03-06,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Deaths,,0,0,2020-03-16,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Confirmed,,0,0,2020-01-31,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Deaths,,9,2,2020-04-01,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Confirmed,,849,116,2020-04-02,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Confirmed,,2,0,2020-02-20,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Confirmed,,2,0,2020-03-03,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Deaths,,0,0,2020-01-26,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Deaths,,60,7,2020-04-16,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
Confirmed,,2,0,2020-02-15,"San Diego, California, US",US,California,San Diego,US,USA,6073,33.03484597,-116.7365326,3338330,,2019 Novel Coronavirus COVID-19 (2019-nCoV) Data Repository by Johns Hopkins CSSE,2020-04-27T23:16:29
